Provinsi,Kab/Kota,kecamatan,SD,SMP,SMA,SMK,TOTAL,jumlah_sppg,priority_score
JawaBarat,BOGOR,CIBINONG,99,55,24,36,214,44,173.78
JawaBarat,BOGOR,CILEUNGSI,98,44,13,28,183,31,156.75
JawaBarat,BOGOR,GUNUNGPUTRI,101,46,24,9,180,32,152.48
JawaBarat,BOGOR,BOJONGGEDE,61,40,4,19,124,25,102.81
JawaBarat,BOGOR,JONGGOL,61,28,15,9,113,11,110.5
JawaBarat,BOGOR,PAMIJAHAN,48,31,10,11,100,11,96.42
JawaBarat,BOGOR,CIBUNGBULANG,43,33,6,14,96,13,88.93
JawaBarat,BOGOR,CITEUREUP,64,27,6,21,118,9,119.9
JawaBarat,BOGOR,GUNUNGSINDUR,49,17,9,4,79,16,66.71
JawaBarat,BOGOR,CIAMPEA,49,19,5,16,89,17,76.0
JawaBarat,BOGOR,LEUWILIANG,62,28,9,10,109,14,101.33
JawaBarat,BOGOR,PARUNGPANJANG,51,18,5,10,84,8,84.44
JawaBarat,BOGOR,CIGUDEG,52,17,2,7,78,2,101.33
JawaBarat,BOGOR,RUMPIN,61,16,7,3,87,8,87.78
JawaBarat,BOGOR,SUKARAJA,41,13,4,7,65,8,63.33
JawaBarat,BOGOR,CISEENG,39,19,7,8,73,14,62.93
JawaBarat,BOGOR,KEMANG,41,27,8,13,89,11,84.5
JawaBarat,BOGOR,BABAKANMADANG,57,16,9,6,88,9,86.9
JawaBarat,BOGOR,JASINGA,60,14,2,4,80,4,91.2
JawaBarat,BOGOR,PARUNG,39,18,6,7,70,12,62.46
JawaBarat,BOGOR,TAJURHALANG,33,23,3,14,73,10,68.73
JawaBarat,BOGOR,NANGGUNG,49,9,1,2,61,10,55.64
JawaBarat,BOGOR,CIGOMBONG,49,16,9,8,82,14,72.53
JawaBarat,BOGOR,KELAPANUNGGAL,35,16,2,9,62,4,69.6
JawaBarat,BOGOR,CIOMAS,37,12,3,9,61,12,52.77
JawaBarat,BOGOR,CARINGIN,34,21,4,13,72,11,66.08
JawaBarat,BOGOR,TENJO,36,13,6,6,61,12,52.77
JawaBarat,BOGOR,CIAWI,32,18,6,11,67,9,63.8
JawaBarat,BOGOR,CISARUA,37,10,3,7,57,12,48.46
JawaBarat,BOGOR,MEGAMENDUNG,37,18,4,9,68,4,76.8
JawaBarat,BOGOR,TENJOLAYA,24,13,3,7,47,3,55.0
JawaBarat,BOGOR,LEUWISADENG,30,16,3,6,55,8,52.22
JawaBarat,BOGOR,CIJERUK,38,9,1,6,54,5,57.17
JawaBarat,BOGOR,TAMANSARI,33,12,4,4,53,11,45.5
JawaBarat,BOGOR,DRAMAGA,35,12,3,4,54,8,51.11
JawaBarat,BOGOR,SUKAMAKMUR,30,10,4,3,47,12,37.69
JawaBarat,BOGOR,RANCABUNGUR,26,11,2,7,46,3,53.75
JawaBarat,BOGOR,SUKAJAYA,29,8,1,3,41,2,52.0
JawaBarat,BOGOR,CARIU,29,9,2,6,46,3,53.75
JawaBarat,BOGOR,TANJUNGSARI,26,11,2,3,42,2,53.33
JawaBarat,GARUT,MALANGBONG,76,15,4,7,102,17,89.72
JawaBarat,GARUT,BUNGBULANG,50,14,6,4,74,4,84.0
JawaBarat,GARUT,CILAWU,72,15,3,8,98,7,102.38
JawaBarat,GARUT,KARANGPAWITAN,60,15,3,7,85,16,73.06
JawaBarat,GARUT,TAROGONGKIDUL,40,17,5,14,76,15,64.81
JawaBarat,GARUT,PAKENJENG,42,19,8,5,74,4,84.0
JawaBarat,GARUT,GARUTKOTA,70,17,5,5,97,34,64.8
JawaBarat,GARUT,CISURUPAN,52,13,4,4,73,7,74.25
JawaBarat,GARUT,BAYONGBONG,55,15,4,8,82,12,75.38
JawaBarat,GARUT,BANYURESMI,49,14,3,4,70,6,73.14
JawaBarat,GARUT,TAROGONGKALER,45,15,4,8,72,23,51.04
JawaBarat,GARUT,CIBATU,49,12,4,3,68,14,57.6
JawaBarat,GARUT,BLUBURLIMBANGAN,45,15,5,12,77,0,154.0
JawaBarat,GARUT,SAMARANG,41,12,4,7,64,8,62.22
JawaBarat,GARUT,CIKAJANG,42,12,5,4,63,21,43.91
JawaBarat,GARUT,CIKELET,39,12,2,5,58,21,38.68
JawaBarat,GARUT,KADUNGORA,45,9,5,7,66,43,23.52
JawaBarat,GARUT,PASIRWANGI,35,12,4,5,56,10,50.18
JawaBarat,GARUT,SUKAWENING,45,8,4,3,60,7,59.62
JawaBarat,GARUT,CISEWU,27,8,3,4,42,10,34.91
JawaBarat,GARUT,CISOMPET,43,10,4,2,59,6,60.57
JawaBarat,GARUT,CARINGIN,26,13,5,1,45,4,49.2
JawaBarat,GARUT,BANJARWANGI,34,12,4,2,52,7,50.62
JawaBarat,GARUT,LELES,43,11,4,3,61,6,62.86
JawaBarat,GARUT,SELAAWI,29,8,2,6,45,3,52.5
JawaBarat,GARUT,PAMEUNGPEUK,27,7,4,3,41,8,36.67
JawaBarat,GARUT,PEUNDEUY,24,5,2,3,34,1,49.5
JawaBarat,GARUT,SINGAJAYA,32,4,3,2,41,0,82.0
JawaBarat,GARUT,CIBALONG,31,8,3,2,44,1,64.5
JawaBarat,GARUT,MEKARMUKTI,15,10,2,3,30,15,15.94
JawaBarat,GARUT,WANARAJA,31,5,3,1,40,4,43.2
JawaBarat,GARUT,CIBIUK,22,7,3,4,36,5,36.17
JawaBarat,GARUT,CIGEDUG,19,10,5,1,35,5,35.0
JawaBarat,GARUT,LEUWIGOONG,31,4,1,1,37,4,39.6
JawaBarat,GARUT,SUKARESMI,21,7,4,2,34,5,33.83
JawaBarat,GARUT,KERSAMANAH,21,6,2,3,32,6,29.71
JawaBarat,GARUT,PANGATIKAN,26,5,1,0,32,3,36.25
JawaBarat,GARUT,TALEGONG,23,9,3,2,37,2,46.67
JawaBarat,GARUT,KARANGTENGAH,20,6,2,2,30,0,60.0
JawaBarat,GARUT,SUCINARAJA,20,3,1,2,26,0,52.0
JawaBarat,GARUT,CIHURIP,14,3,1,1,19,1,27.0
JawaBarat,GARUT,PAMULIHAN,13,6,0,1,20,1,28.5
JawaBarat,SUKABUMI,CIBADAK,48,20,7,6,81,9,79.2
JawaBarat,SUKABUMI,CICURUG,43,17,8,14,82,22,62.61
JawaBarat,SUKABUMI,CISAAT,41,16,4,7,68,20,50.29
JawaBarat,SUKABUMI,PELABUHANRATU,39,18,5,12,74,0,148.0
JawaBarat,SUKABUMI,SURADE,44,10,2,5,61,6,62.86
JawaBarat,SUKABUMI,CISOLOK,42,17,1,6,66,14,55.47
JawaBarat,SUKABUMI,CIKIDANG,41,12,6,1,60,9,56.1
JawaBarat,SUKABUMI,NAGRAK,37,12,3,6,58,9,53.9
JawaBarat,SUKABUMI,SUKARAJA,28,11,4,3,46,15,32.94
JawaBarat,SUKABUMI,CIKEMBAR,43,12,2,3,60,18,44.21
JawaBarat,SUKABUMI,JAMPANGTENGAH,43,7,1,3,54,4,60.0
JawaBarat,SUKABUMI,CICANTAYAN,20,10,1,8,39,20,19.9
JawaBarat,SUKABUMI,SAGARANTEN,27,6,1,3,37,8,32.22
JawaBarat,SUKABUMI,CIEMAS,35,9,1,4,49,21,29.27
JawaBarat,SUKABUMI,JAMPANGKULON,29,9,3,4,45,6,44.57
JawaBarat,SUKABUMI,PARUNGKUDA,22,11,4,6,43,21,23.0
JawaBarat,SUKABUMI,WARUNGKIARA,29,8,1,3,41,6,40.0
JawaBarat,SUKABUMI,CIRACAP,30,8,1,5,44,3,51.25
JawaBarat,SUKABUMI,CARINGIN,23,8,3,2,36,5,36.17
JawaBarat,SUKABUMI,SIMPENAN,35,7,2,3,47,3,55.0
JawaBarat,SUKABUMI,PURABAYA,24,5,1,4,34,2,42.67
JawaBarat,SUKABUMI,NYALINDUNG,28,6,1,3,38,3,43.75
JawaBarat,SUKABUMI,CIDAHU,25,7,2,4,38,4,40.8
JawaBarat,SUKABUMI,GEGERBITUNG,26,8,1,2,37,3,42.5
JawaBarat,SUKABUMI,KALAPANUNGGAL,22,8,2,3,35,6,33.14
JawaBarat,SUKABUMI,PABUARAN,23,5,0,2,30,2,37.33
JawaBarat,SUKABUMI,CIKAKAK,21,6,1,3,31,2,38.67
JawaBarat,SUKABUMI,KABANDUNGAN,23,7,2,2,34,4,36.0
JawaBarat,SUKABUMI,PARAKANSALAK,13,10,3,3,29,4,30.0
JawaBarat,SUKABUMI,BOJONGGENTENG,15,12,4,5,36,0,72.0
JawaBarat,SUKABUMI,SUKABUMI,16,6,2,4,28,1,40.5
JawaBarat,SUKABUMI,GUNUNGGURUH,23,7,3,2,35,0,70.0
JawaBarat,SUKABUMI,CIREUNGHAS,14,7,2,4,27,11,17.33
JawaBarat,SUKABUMI,KALIBUNDER,25,6,1,0,32,2,40.0
JawaBarat,SUKABUMI,KADUDAMPIT,18,7,2,5,32,4,33.6
JawaBarat,SUKABUMI,BANTARGADUNG,28,8,1,1,38,5,38.5
JawaBarat,SUKABUMI,CURUGKEMBAR,16,4,1,1,22,3,23.75
JawaBarat,SUKABUMI,TEGALBULEUD,21,6,1,2,30,2,37.33
JawaBarat,SUKABUMI,SUKALARANG,18,8,2,1,29,4,30.0
JawaBarat,SUKABUMI,CIBITUNG,20,6,1,1,28,1,40.5
JawaBarat,SUKABUMI,CIAMBAR,17,6,4,1,28,1,40.5
JawaBarat,SUKABUMI,LENGKONG,20,6,2,1,29,2,36.0
JawaBarat,SUKABUMI,CIDADAP,12,4,1,2,19,1,27.0
JawaBarat,SUKABUMI,WALURAN,16,3,0,2,21,2,25.33
JawaBarat,SUKABUMI,CIMANGGU,12,3,0,1,16,1,22.5
JawaBarat,SUKABUMI,KEBONPEDES,12,4,1,2,19,4,18.0
JawaBarat,SUKABUMI,CIDOLOG,9,4,1,1,15,1,21.0
JawaBarat,CIANJUR,CIANJUR,63,32,12,21,128,43,86.93
JawaBarat,CIANJUR,KARANGTENGAH,65,29,10,17,121,16,111.18
JawaBarat,CIANJUR,CIBEBER,62,23,6,8,99,8,101.11
JawaBarat,CIANJUR,CILAKU,57,23,6,13,99,12,93.69
JawaBarat,CIANJUR,CUGENANG,56,22,6,7,91,7,94.5
JawaBarat,CIANJUR,CIDAUN,43,18,7,9,77,5,84.0
JawaBarat,CIANJUR,CIBINONG,48,24,4,2,78,14,68.27
JawaBarat,CIANJUR,SINDANGBARANG,36,19,4,5,64,3,76.25
JawaBarat,CIANJUR,CIKALONGKULON,52,13,3,8,76,7,77.62
JawaBarat,CIANJUR,SUKALUYU,35,16,3,7,61,10,55.64
JawaBarat,CIANJUR,CIPANAS,42,17,5,9,73,26,48.74
JawaBarat,CIANJUR,CIRANJANG,36,16,5,5,62,10,56.73
JawaBarat,CIANJUR,PAGELARAN,48,9,2,3,62,5,66.5
JawaBarat,CIANJUR,SUKARESMI,39,11,4,2,56,5,59.5
JawaBarat,CIANJUR,CAMPAKA,45,15,0,3,63,3,75.0
JawaBarat,CIANJUR,PACET,29,13,5,11,58,15,45.69
JawaBarat,CIANJUR,KADUPANDAK,40,15,3,4,62,6,64.0
JawaBarat,CIANJUR,NARINGGUL,37,14,4,3,58,3,68.75
JawaBarat,CIANJUR,WARUNGKONDANG,30,13,0,8,51,6,51.43
JawaBarat,CIANJUR,MANDE,43,8,1,2,54,6,54.86
JawaBarat,CIANJUR,BOJONGPICUNG,40,9,1,5,55,4,61.2
JawaBarat,CIANJUR,CIJATI,30,14,2,7,53,7,51.75
JawaBarat,CIANJUR,CIKADU,31,15,3,2,51,2,65.33
JawaBarat,CIANJUR,SUKANAGARA,31,8,1,3,43,3,50.0
JawaBarat,CIANJUR,TAKOKAK,34,13,2,5,54,1,79.5
JawaBarat,CIANJUR,TANGGEUNG,29,11,0,3,43,5,44.33
JawaBarat,CIANJUR,AGRABINTA,30,13,3,1,47,0,94.0
JawaBarat,CIANJUR,HAURWANGI,22,6,2,4,34,7,30.38
JawaBarat,CIANJUR,LELES,28,7,3,4,42,2,53.33
JawaBarat,CIANJUR,GEKBRONG,24,6,1,1,32,5,31.5
JawaBarat,CIANJUR,PASIRKUDA,24,5,2,3,34,0,68.0
JawaBarat,CIANJUR,CAMPAKAMULYA,17,4,0,2,23,0,46.0
JawaBarat,BANDUNG,RANCAEKEK,68,23,6,16,113,14,105.6
JawaBarat,BANDUNG,BALEENDAH,70,22,10,12,114,15,105.19
JawaBarat,BANDUNG,CILEUNYI,58,24,5,5,92,14,83.2
JawaBarat,BANDUNG,CIPARAY,63,25,11,5,104,18,90.53
JawaBarat,BANDUNG,MAJALAYA,64,14,8,9,95,15,85.0
JawaBarat,BANDUNG,PASEH,67,13,6,7,93,9,92.4
JawaBarat,BANDUNG,BANJARAN,47,16,5,8,76,8,75.56
JawaBarat,BANDUNG,PACET,48,19,2,5,74,2,96.0
JawaBarat,BANDUNG,CIMENYAN,48,19,4,2,73,8,72.22
JawaBarat,BANDUNG,PANGALENGAN,68,10,3,3,84,23,63.54
JawaBarat,BANDUNG,CICALENGKA,49,11,7,8,75,14,65.07
JawaBarat,BANDUNG,ARJASARI,47,14,6,5,72,7,73.12
JawaBarat,BANDUNG,KATAPANG,37,8,1,5,51,10,44.73
JawaBarat,BANDUNG,PASIRJAMBU,42,10,2,3,57,0,114.0
JawaBarat,BANDUNG,MARGAHAYU,35,11,6,6,58,8,55.56
JawaBarat,BANDUNG,IBUN,43,11,3,5,62,10,56.73
JawaBarat,BANDUNG,BOJONGSOANG,32,9,3,4,48,14,36.27
JawaBarat,BANDUNG,SOREANG,41,12,5,5,63,9,59.4
JawaBarat,BANDUNG,CIWIDEY,32,5,3,3,43,3,50.0
JawaBarat,BANDUNG,KUTAWARINGIN,42,9,3,2,56,5,59.5
JawaBarat,BANDUNG,SOLOKANJERUK,38,10,2,4,54,12,45.23
JawaBarat,BANDUNG,MARGAASIH,35,10,3,1,49,11,41.17
JawaBarat,BANDUNG,CIMAUNG,32,11,4,3,50,5,52.5
JawaBarat,BANDUNG,DAYEUHKOLOT,39,12,3,3,57,4,63.6
JawaBarat,BANDUNG,CIKANCUNG,39,9,2,2,52,0,104.0
JawaBarat,BANDUNG,KERTASARI,41,5,2,0,48,4,52.8
