no,provinsi,kota,kecamatan,kelurahan,nama_sppg,alamat_lengkap,latitude,longitude
1,JAWA BARAT,KOTA DEPOK,LIMO,GROGOL,SPPG Kota Depok Limo Grogol 2,"limo,kota depok,jawa barat,indonesia",-6.36613,106.7823401
2,JAWA BARAT,PURWAKARTA,PLERED,PLERED,SPPG Purwakarta Plered Plered,"plered,purwakarta,jawa barat,indonesia",-6.6459072,107.3864372
3,JAWA BARAT,BANDUNG BARAT,CIPATAT,RAJAMANDALAKULON,SPPG Bandung Barat Cipatat Rajamandalakulon,"cipatat,bandung barat,jawa barat,indonesia",-6.8220386,107.3860457
4,JAWA BARAT,BOGOR,KEMANG,JAMPANG,SPPG Bogor Kemang Jampang,"kemang,bogor,jawa barat,indonesia",-6.5031389,106.7351233
5,JAWA BARAT,KOTA BEKASI,BEKASI TIMUR,ARENJAYA,SPPG Kota Bekasi Bekasi Timur Arenjaya 2,"bekasi timur,kota bekasi,jawa barat,indonesia",-6.246862,107.0182065
6,JAWA BARAT,SUMEDANG,WADO,GANJARESIK,SPPG Sumedang Wado Ganjaresik,"wado,sumedang,jawa barat,indonesia",-6.9472722,108.0919179
7,JAWA BARAT,BOGOR,LEUWILIANG,LEUWILIANG,SPPG Bogor Leuwiliang Leuwiliang,"leuwiliang,bogor,jawa barat,indonesia",-6.6291146,106.6143
8,JAWA BARAT,CIANJUR,CIJATI,PARAKANTUGU,SPPG Cianjur Cijati Parakantugu 2,"cijati,cianjur,jawa barat,indonesia",-7.2604386,107.0349386
9,JAWA BARAT,CIREBON,SUSUKAN,WIYONG,SPPG Cirebon Susukan Wiyong 2,"susukan,cirebon,jawa barat,indonesia",-6.861003,108.6169991
10,JAWA BARAT,BANDUNG BARAT,CIPONGKOR,SARINAGEN,SPPG Bandung Barat Cipongkor Sarinagen,"cipongkor,bandung barat,jawa barat,indonesia",-6.9345139,107.3590613
11,JAWA BARAT,KOTA BANDUNG,CICENDO,HUSEIN SASTRANEGARA,SPPG Kota Bandung Cicendo Husein Sastranegara 6,"cicendo,kota bandung,jawa barat,indonesia",-6.9105531,107.6041785
12,JAWA BARAT,KARAWANG,KLARI,PANCAWATI,SPPG Karawang Klari Pancawati 3,"klari,karawang,jawa barat,indonesia",-6.349852,107.3453729
13,JAWA BARAT,GARUT,CISEWU,CISEWU,SPPG Garut Cisewu Cisewu,"cisewu,garut,jawa barat,indonesia",-7.3806814,107.5297666
14,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 2,"buahbatu,kota bandung,jawa barat,indonesia",-6.9475541,107.6325661
15,JAWA BARAT,BOGOR,LEUWILIANG,LEUWILIANG,SPPG Bogor Leuwiliang Leuwiliang,"leuwiliang,bogor,jawa barat,indonesia",-6.6291146,106.6143
16,JAWA BARAT,CIANJUR,CIJATI,PARAKANTUGU,SPPG Cianjur Cijati Parakantugu 2,"cijati,cianjur,jawa barat,indonesia",-7.2604386,107.0349386
17,JAWA BARAT,CIREBON,SUSUKAN,WIYONG,SPPG Cirebon Susukan Wiyong 2,"susukan,cirebon,jawa barat,indonesia",-6.861003,108.6169991
18,JAWA BARAT,BOGOR,KEMANG,JAMPANG,SPPG Bogor Kemang Jampang,"kemang,bogor,jawa barat,indonesia",-6.5031389,106.7351233
19,JAWA BARAT,SUMEDANG,WADO,GANJARESIK,SPPG Sumedang Wado Ganjaresik,"wado,sumedang,jawa barat,indonesia",-6.9472722,108.0919179
20,JAWA BARAT,GARUT,BL. LIMBANGAN,CIWANGI,SPPG Garut Bl. Limbangan Ciwangi,"bl. limbangan,garut,jawa barat,indonesia",-7.0386499,107.97094
21,JAWA BARAT,BANDUNG BARAT,CIKALONGWETAN,PUTERAN,SPPG Bandung Barat Cikalongwetan Puteran 2,"cikalongwetan,bandung barat,jawa barat,indonesia",-6.7488283,107.445193
23,JAWA BARAT,GARUT,CISEWU,CISEWU,SPPG Garut Cisewu Cisewu,"cisewu,garut,jawa barat,indonesia",-7.3806814,107.5297666
24,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 2,"buahbatu,kota bandung,jawa barat,indonesia",-6.9475541,107.6325661
25,JAWA BARAT,CIREBON,DUKUPUNTANG,SINDANGMEKAR,SPPG Cirebon Dukupuntang Sindangmekar 2,"dukupuntang,cirebon,jawa barat,indonesia",-6.7721086,108.4141478
