no,provinsi,kota,kecamatan,kelurahan,nama_sppg
1,JAWA BARAT,KOTA DEPOK,LIMO,GROGOL,SPPG Kota Depok Limo Grogol 2
2,JAWA BARAT,PURWAKARTA,PLERED,PLERED,SPPG Purwakarta Plered Plered
3,JAWA BARAT,BANDUNG BARAT,CIPATAT,RAJAMANDALAKULON,SPPG Bandung Barat Cipatat Rajamandalakulon
4,JAWA BARAT,BOGOR,KEMANG,JAMPANG,SPPG Bogor Kemang Jampang
5,JAWA BARAT,KOTA BEKASI,BEKASI TIMUR,ARENJAYA,SPPG Kota Bekasi Bekasi Timur Arenjaya 2
6,JAWA BARAT,SUMEDANG,WADO,GANJARESIK,SPPG Sumedang Wado Ganjaresik
7,JAWA BARAT,BOGOR,LEUWILIANG,LEUWILIANG,SPPG Bogor Leuwiliang Leuwiliang
8,JAWA BARAT,CIANJUR,CIJATI,PARAKANTUGU,SPPG Cianjur Cijati Parakantugu 2
9,JAWA BARAT,CIREBON,SUSUKAN,WIYONG,SPPG Cirebon Susukan Wiyong 2
10,JAWA BARAT,BANDUNG BARAT,CIPONGKOR,SARINAGEN,SPPG Bandung Barat Cipongkor Sarinagen
11,JAWA BARAT,KOTA BANDUNG,CICENDO,HUSEIN SASTRANEGARA,SPPG Kota Bandung Cicendo Husein Sastranegara 6
12,JAWA BARAT,KARAWANG,KLARI,PANCAWATI,SPPG Karawang Klari Pancawati 3
13,JAWA BARAT,GARUT,CISEWU,CISEWU,SPPG Garut Cisewu Cisewu
14,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 2
15,JAWA BARAT,BOGOR,LEUWILIANG,LEUWILIANG,SPPG Bogor Leuwiliang Leuwiliang
16,JAWA BARAT,CIANJUR,CIJATI,PARAKANTUGU,SPPG Cianjur Cijati Parakantugu 2
17,JAWA BARAT,CIREBON,SUSUKAN,WIYONG,SPPG Cirebon Susukan Wiyong 2
18,JAWA BARAT,BOGOR,KEMANG,JAMPANG,SPPG Bogor Kemang Jampang
19,JAWA BARAT,SUMEDANG,WADO,GANJARESIK,SPPG Sumedang Wado Ganjaresik
20,JAWA BARAT,GARUT,BL. LIMBANGAN,CIWANGI,SPPG Garut Bl. Limbangan Ciwangi
21,JAWA BARAT,BANDUNG BARAT,CIKALONGWETAN,PUTERAN,SPPG Bandung Barat Cikalongwetan Puteran 2
22,JAWA BARAT,TASIKMALAYA,JAMANIS,TANJUNGMEKAR,SPPG Tasikmalaya Jamanis Tanjungmekar 2
23,JAWA BARAT,GARUT,CISEWU,CISEWU,SPPG Garut Cisewu Cisewu
24,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 2
25,JAWA BARAT,CIREBON,DUKUPUNTANG,SINDANGMEKAR,SPPG Cirebon Dukupuntang Sindangmekar 2
26,JAWA BARAT,GARUT,BL. LIMBANGAN,CIWANGI,SPPG Garut Bl. Limbangan Ciwangi
27,JAWA BARAT,KOTA BANDUNG,BOJONGLOA KALER,KOPO,SPPG Kota Bandung Bojongloa Kaler Kopo 3
28,JAWA BARAT,KOTA BEKASI,BEKASI TIMUR,DURENJAYA,SPPG Kota Bekasi Bekasi Timur Durenjaya
29,JAWA BARAT,KOTA CIREBON,HARJAMUKTI,KALIJAGA,SPPG Kota Cirebon Harjamukti Kalijaga 4
30,JAWA BARAT,BOGOR,PARUNG,WARUJAYA,SPPG Bogor Parung Warujaya 3
31,JAWA BARAT,BOGOR,LEUWILIANG,LEUWILIANG,SPPG Bogor Leuwiliang Leuwiliang
32,JAWA BARAT,CIANJUR,CIJATI,PARAKANTUGU,SPPG Cianjur Cijati Parakantugu 2
33,JAWA BARAT,CIREBON,SUSUKAN,WIYONG,SPPG Cirebon Susukan Wiyong 2
34,JAWA BARAT,BOGOR,KEMANG,JAMPANG,SPPG Bogor Kemang Jampang
35,JAWA BARAT,SUMEDANG,WADO,GANJARESIK,SPPG Sumedang Wado Ganjaresik
36,JAWA BARAT,PURWAKARTA,PLERED,PLERED,SPPG Purwakarta Plered Plered
